K,Accuracy,Precision (0),Precision (1),Precision (Macro AVG),Precision (Weighted AVG),Recall (0),Recall (1),Recall (Macro AVG),Recall (Weighted AVG),F1-Score (0),F1-Score (1),F1-Score (Macro AVG),F1-Score (Weighted AVG)
1,0.68,0.75,0.55,0.65,0.68,0.75,0.55,0.65,0.68,0.75,0.55,0.65,0.68
3,0.73,0.78,0.63,0.71,0.73,0.81,0.6,0.7,0.73,0.8,0.62,0.71,0.73
5,0.76,0.8,0.67,0.74,0.76,0.83,0.64,0.73,0.76,0.82,0.65,0.74,0.76
7,0.75,0.79,0.66,0.72,0.74,0.83,0.6,0.71,0.75,0.81,0.63,0.72,0.74
9,0.76,0.8,0.67,0.74,0.76,0.83,0.64,0.73,0.76,0.82,0.65,0.74,0.76
11,0.75,0.81,0.64,0.72,0.75,0.8,0.65,0.73,0.75,0.8,0.65,0.73,0.75
13,0.77,0.83,0.68,0.75,0.77,0.82,0.69,0.75,0.77,0.82,0.68,0.75,0.77
15,0.76,0.8,0.68,0.74,0.76,0.84,0.62,0.73,0.76,0.82,0.65,0.73,0.76
17,0.76,0.8,0.67,0.74,0.76,0.83,0.64,0.73,0.76,0.82,0.65,0.74,0.76
19,0.78,0.81,0.71,0.76,0.78,0.86,0.64,0.75,0.78,0.83,0.67,0.75,0.78
